sound,person,word,utter,phoneme,part_word,poa_prev,moa_prev,poa_next,moa_next,f1,f2,time,start,end,duration,ln_f1,ln_f2,norm_f1,norm_f2
T_POKEMAN_total_312,FA,gɩkàjàn,u1,ɩ,pref ,velar,stop,velar,stop,380.3389091,1846.892159,86.90489153,43.81666895,86.8829832,86.92679987,5.941062721,7.521259591,-0.168352279,0.235395591
T_POKEMAN_total_312,FA,gɩkàjàn,u3,ɩ,pref ,velar,stop,velar,stop,403.1817214,1960.007104,90.15901653,59.75000312,90.12914153,90.18889153,5.999387382,7.580703377,-0.110027618,0.294839377
T_POKEMAN_total_314,FA,gɩkɛlɩ,u2,ɩ,root ,dental,lateral,velar,stop,405.1816891,1941.889242,116.9173423,46.54660283,116.894069,116.9406156,6.004335582,7.571416614,-0.105079418,0.285552614
T_POKEMAN_total_410,FA,gɩkɩɩ ,u1,ɩ,pref,velar,stop,velar,stop,299.1564471,1958.567381,1522.074011,48.34357443,1522.049839,1522.098183,5.700966671,7.579968557,-0.408448329,0.294104557
T_POKEMAN_total_410,FA,gɩkɩɩ ,u1,ɩ,root,velar,stop,none,none,252.2418347,1999.675781,1522.293347,111.0111709,1522.237842,1522.348853,5.530388289,7.600740337,-0.579026711,0.314876337
T_POKEMAN_total_410,FA,gɩkɩɩ ,u3,ɩ,root,velar,stop,none,none,239.4608526,2000.599329,1525.56709,83.51982892,1525.52533,1525.60885,5.478389949,7.601202079,-0.631025051,0.315338079
T_POKEMAN_total_410,FA,gɩkɩɩ ,u2,ɩ,pref,velar,stop,velar,stop,278.6167257,2050.681741,1523.802177,64.45809925,1523.769948,1523.834406,5.629837094,7.625927573,-0.479577906,0.340063573
T_POKEMAN_total_410,FA,gɩkɩɩ ,u3,ɩ,pref,velar,stop,velar,stop,267.8222705,2090.713699,1525.351036,69.65831375,1525.316207,1525.385865,5.590323591,7.645260769,-0.519091409,0.359396769
T_POKEMAN_total_319,FA,gɩŋmɩl ,u2,ɩ,pref ,velar,stop,labiovelar,nasal,309.0454432,1186.852254,175.4898304,44.07676255,175.467792,175.5118687,5.733488331,7.079059917,-0.375926669,-0.206804083
T_POKEMAN_total_319,FA,gɩŋmɩl ,u3,ɩ,pref ,velar,stop,labiovelar,nasal,349.7169336,1328.132417,176.8604386,43.00478988,176.8389363,176.881941,5.857124066,7.191529037,-0.252290934,-0.094334963
T_POKEMAN_total_319,FA,gɩŋmɩl ,u1,ɩ, root ,labiovelar,nasal,dental,lateral,372.7816127,1497.037548,173.9495826,44.71693031,173.9272241,173.971941,5.920992759,7.311243466,-0.188422241,0.025379466
T_POKEMAN_total_319,FA,gɩŋmɩl ,u2,ɩ, root ,labiovelar,nasal,dental,lateral,471.1974476,1529.935258,175.6642652,51.35161258,175.6385894,175.689941,6.155277216,7.332980698,0.045862216,0.047116698
T_POKEMAN_total_319,FA,gɩŋmɩl ,u3,ɩ, root ,labiovelar,nasal,dental,lateral,447.3267857,1637.161136,177.0363634,42.24023078,177.0152433,177.0574835,6.103289392,7.400719006,-0.006125608,0.114855006
T_POKEMAN_total_304 ,FA,gɩpɩtɔ,u3,ɩ,root,labial,stop,dental,stop,477.7830873,1429.092549,6.864060699,41.31868132,6.843401358,6.884720039,6.169156837,7.264794941,0.059741837,-0.021069059
T_POKEMAN_total_304 ,FA,gɩpɩtɔ,u2,ɩ,pref,velar,stop,labial,stop,444.8908466,1570.693035,5.003237117,30.15147015,4.988161382,5.018312852,6.097828964,7.359272225,-0.011586036,0.073408225
T_POKEMAN_total_304 ,FA,gɩpɩtɔ,u2,ɩ,root,labial,stop,dental,stop,476.5100377,1570.955716,5.159313167,45.2557529,5.13668529,5.181941043,6.166488788,7.359439449,0.057073788,0.073575449
T_POKEMAN_total_304 ,FA,gɩpɩtɔ,u1,ɩ,root,labial,stop,dental,stop,471.4904489,1625.235464,3.122287939,33.5016335,3.105537123,3.139038756,6.155898845,7.393407985,0.046483845,0.107543985
T_POKEMAN_total_321,FA,gɩsɛ,u3,ɩ,pref ,velar,stop,dental,fricative,307.6680095,1897.027376,195.3177666,25.42146359,195.3050559,195.3304773,5.72902131,7.548043401,-0.38039369,0.262179401
T_POKEMAN_total_322,FA,gɩsɩgbɛl ,u1,ɩ, root ,dental,fricative,labiovelar,stop,403.2932754,1319.704485,198.5558155,44.25113243,198.5336899,198.577941,5.999664028,7.185163116,-0.109750972,-0.100700884
T_POKEMAN_total_322,FA,gɩsɩgbɛl ,u2,ɩ, root ,dental,fricative,labiovelar,stop,432.8287897,1369.452363,200.3570148,27.69468369,200.3431675,200.3708621,6.070342245,7.222166204,-0.039072755,-0.063697796
T_POKEMAN_total_322,FA,gɩsɩgbɛl ,u1,ɩ,pref ,velar,stop,dental,fricative,379.5150472,1613.453231,198.3845507,47.4533987,198.360824,198.4082774,5.938894246,7.386132025,-0.170520754,0.100268025
T_POKEMAN_total_322,FA,gɩsɩgbɛl ,u2,ɩ,pref ,velar,stop,dental,fricative,399.7400937,1815.983866,200.1943085,39.23413523,200.1746915,200.2139256,5.99081457,7.504382675,-0.11860043,0.218518675
T_POKEMAN_total_324,FA,gɩta ,u1,ɩ,pref ,velar,stop,dental,stop,428.4197786,1762.993735,219.8893875,34.5688972,219.872103,219.9066719,6.060103506,7.474768629,-0.049311494,0.188904629
T_POKEMAN_total_324,FA,gɩta ,u2,ɩ,pref ,velar,stop,dental,stop,403.6548953,1947.541782,222.062675,28.80741433,222.0482713,222.0770787,6.000560293,7.574323232,-0.108854707,0.288459232
T_POKEMAN_total_325,FA,gɩtɛʔ,u2,ɩ,pref ,velar,stop,dental,stop,312.0603069,1927.77718,233.4928489,27.75087226,233.4789734,233.5067243,5.74319646,7.564122898,-0.36621854,0.278258898
T_POKEMAN_total_325,FA,gɩtɛʔ,u1,ɩ,pref ,velar,stop,dental,stop,299.8478319,1967.204643,231.7417658,27.75087226,231.7278904,231.7556413,5.703275119,7.584368851,-0.406139881,0.298504851
T_POKEMAN_total_308,FA,ɩfɛ ,u1,ɩ,pref,none,none,labial,fricative,293.575481,1906.718061,37.56361159,53.7750028,37.53672408,37.59049909,5.682134782,7.55313875,-0.427280218,0.26727475
T_POKEMAN_total_308,FA,ɩfɛ ,u2,ɩ,pref,none,none,labial,fricative,373.3795302,1939.482596,39.38156619,75.30161958,39.34391538,39.419217,5.92259541,7.570176513,-0.18681959,0.284312513
T_POKEMAN_total_337,FA,ɩkabwɩ,u1,ɩ,pref ,none,none,velar,stop,266.1118655,2088.258259,380.5693644,83.85034601,380.5274393,380.6112896,5.583916767,7.644085629,-0.525498233,0.358221629
T_POKEMAN_total_337,FA,ɩkabwɩ,u3,ɩ,pref ,none,none,velar,stop,295.0079841,2173.033171,383.764942,58.69524221,383.7355944,383.7942896,5.687002421,7.683879245,-0.422412579,0.398015245
